Mesto,Naslov,Opis lokacije,Število paketnikov oz. Multispace paketnik,Izročilna pošta,Latitude,Longitude
Ajdovščina,Goriška cesta 24,Ob poštni poslovalnici,6,5270,45.887373,13.9030233
Benedikt,Čolnikov trg 9,Ob poštni poslovalnici,2,2234,46.6069861,15.8914418
Bled,Ljubljanska cesta 10,Ob poštni poslovalnici,4,4260,46.3673756,14.111165
Bohinjska Bistrica,Trg svobode 2 C,Ob poštni poslovalnici,4,4264,46.2723057,13.9529801
Borovnica,Molkov trg 12,Ob poštni poslovalnici,4,1353,45.9180752,14.3651153
Bresternica,Obrobna ulica 1,Ob poštni poslovalnici,2,2354,46.5671217,15.5783518
Brezovica pri Ljubljani,Podpeška cesta 20,Ob poštni poslovalnici,4,1351,46.0204636,14.4157041
Brežice,Ulica stare pravde 34,Ob poštni poslovalnici,4,8250,45.9048635,15.5933083
Celje,Krekov trg 9,Ob poštni poslovalnici,6,3101,46.2293374,15.2674189
Črenšovci,Ulica Prekmurske čete 14,Ob poštni poslovalnici,2,9232,46.5691978,16.2935864
Črna na Koroškem,Center 16,Ob poštni poslovalnici,2,2393,46.4698003,14.8498945
Črnomelj,Kolodvorska cesta 30 A,Ob poštni poslovalnici,4,8340,45.5747806,15.1905524
Dob,Krtina 144,Bar Rožmarinka,3,1233,46.1523654,14.6508275
Dobova,Ulica bratov Gerjovičev 52,Ob nekdanji poštni poslovalnici,2,8257,45.8952239,15.6591942
Dravograd,Trg 4. julija 1,Ob poštni poslovalnici,4,2370,46.5892597,15.0241357
Gorišnica,Gorišnica 79,Ob poštni poslovalnici,2,2272,46.4085536,16.0126793
Gornja Radgona,Cesta na Stadion 1,Ob poštni poslovalnici,4,9250,46.675151,15.9941548
Gornji Grad,Podsmrečje 20,Mercator,9,3342,46.2932904,14.803909
Gornji Grad,Attemsov trg 8,Poslovni objekt,6,3342,46.295937,14.8048097
Grosuplje,Partizanska cesta 7,Ob poštni poslovalnici,6,1290,45.9562273,14.6580297
Idrija,Vodnikova ulica 1,Ob poštni poslovalnici,4,5280,46.001312,14.0261357
Ivančna Gorica,Ploščad Osvobodilne fronte 4,Ob poštni poslovalnici,4,1295,45.9383423,14.8033237
Ivanjkovci,Ivanjkovci 9 B,Ob poštni poslovalnici,1,2259,46.4623515,16.157242
Izola/Isola,Cankarjev drevored 1,Ob poštni poslovalnici,8,6310,45.5370229,13.6607187
Jesenice,Cesta Cirila Tavčarja 8,Ob poštni poslovalnici,4,4271,46.4395689,14.0431206
Jesenice na Dolenjskem,Jesenice 9,Ob poštni poslovalnici,2,8261,45.8444681,15.6544392
Kamnica,Cesta v Rošpoh 18,Ob poštni poslovalnici,3,2351,46.5724963,15.6119732
Kamnik,Ljubljanska cesta 14 A,Ob poštni poslovalnici,6,1241,46.2071865,14.5973052
Kidričevo,Kopališka ulica 2,Ob poštni poslovalnici,2,2325,46.4034285,15.7970277
Kobilje,Kobilje 30,Občina Kobilje,3,9227,46.6844725,16.3928914
Kočevje,Ljubljanska cesta 23,Ob poštni poslovalnici,6,1330,45.641768,14.8564735
Komenda,Glavarjeva cesta 39,Ob poštni poslovalnici,4,1218,46.2027348,14.5416019
Koper,Kolodvorska cesta 9,Ob poštni poslovalnici,8,6104,45.543029,13.7347042
Kranj,Dražgoška ulica 8,Ob poštni poslovalnici,6,4101,46.2485981,14.3565335
Kranj,Škofjeloška cesta 17,Ob poštni poslovalnici,4,4103,46.2310163,14.3462511
Kranj,Jezerska cesta 41,Ob poštni poslovalnici,4,4104,46.2472577,14.3689128
Kranj,Ulica Lojzeta Hrovata 2,Ob poštni poslovalnici,4,4105,46.2378475,14.3656363
Kranjska Gora,Borovška cesta 92,Ob poštni poslovalnici,4,4280,46.4849658,13.7818807
Krško,Trg Matije Gubca 1,Ob poštni poslovalnici,6,8271,45.9576147,15.494711
Lenart v Slovenskih goricah,Partizanska cesta 3,Ob poštni poslovalnici,4,2230,46.5773462,15.8306242
Lendava/Lendva,Trg ljudske pravice 7,Ob poštni poslovalnici,4,9220,46.5617291,16.4549567
Lesce,Alpska cesta 37 B,Ob poštni poslovalnici,4,4248,46.3612772,14.1580546
Ljubljana,Poljanski nasip 30,Ob poštni poslovalnici,4,1104,46.0508509,14.5146067
Ljubljana,Pražakova ulica 3,Ob poštni poslovalnici,6,1106,46.056917,14.506565
Ljubljana,Zaloška cesta 57,Ob poštni poslovalnici,4,1110,46.0563346,14.5347205
Ljubljana,Dunajska cesta 141,Ob poštni poslovalnici,6,1113,46.0801127,14.5123182
Ljubljana,Riharjeva ulica 38,Ob poštni poslovalnici,4,1115,46.0389438,14.4993535
Ljubljana,Vodnikova cesta 235,Ob poštni poslovalnici,6,1117,46.0786089,14.4724589
Ljubljana,Resljeva cesta 14,Ob poštni poslovalnici,4,1124,46.0542376,14.5109359
Ljubljana,Letališka cesta 12 1A,Avto Letališka,6,1122,46.0621499,14.5729938
Ljubljana,Tacenska cesta 94,As Mlakar Tacen Lj.,4,1133,46.1133054,14.4622514
Ljubljana,Hrvaška ulica 8,Center Desetka,30,1122,46.0650541,14.5465646
Ljubljana,Ob železnici 22,Direct4me HQ,Multispace paketnik,1110,46.0595297,14.5363739
Ljubljana,Hranilniška ulica 1,Gostilna Raubar,6,1116,46.0642475,14.5066497
Ljubljana,Dunajska cesta 145,Gostilnica Vinka,Multispace paketnik,1113,46.0804028,14.5125312
Ljubljana,Litijska cesta 140,Hayat Market Litijska,6,1119,46.0448563,14.5595798
Ljubljana,Tehnološki park 22a,Tehnološki park Ljubljana,Multispace paketnik,1125,46.0505192,14.4594997
Ljubljana,Tržaška cesta 89,Vulkanizerstvo Pečar Tržaška,6,1111,46.0417776,14.477397
Ljubljana,Cesta dveh cesarjev 73,Petrol Barje - jug,Multispace paketnik,1123,46.0288598,14.4785104
Ljubljana,Cesta dveh cesarjev 71,Petrol Barje - sever,Multispace paketnik,1123,46.0291651,14.481816
Ljubljana - Črnuče,Dunajska cesta 361,Ob poštni poslovalnici,6,1231,46.1024394,14.5296183
Ljubljana - Polje,Zadobrovška cesta 14,Ob poštni poslovalnici,3,1260,46.0560801,14.5843374
Ljubljana - Šentvid,Prušnikova ulica 2,Ob poštni poslovalnici,3,1210,46.0903389,14.4725194
Makole,Makole 37,Ob poštni poslovalnici,2,2321,46.3173932,15.6667322
Malečnik,Malečnik 56,Ob poštni poslovalnici,4,2229,46.5555939,15.6934876
Maribor,Dominkuševa ulica 4,Mala tržnica,Multispace paketnik,2116,46.5634501,15.6566462
Maribor,Istrska ulica 49,Ob poštni poslovalnici,6,2104,46.5485064,15.6743287
Maribor,Gosposvetska cesta 83,Študentski domovi Maribor DOM 7,6,2101,46.5628753,15.6271889
Maribor,Gosposvetska cesta 84,PC Meltal - parkirišče,6,2101,46.5628725,15.6295632
Maribor,Pohorska ulica 21a,Tržnica Radvanje,Multispace paketnik,2115,46.5383863,15.6048322
Maribor,Prvomajska ulica 35,Tržnica Tezno,Multispace paketnik,2105,46.5324125,15.6699681
Maribor,Radvanjska cesta 63,MČ Nova vas,Multispace paketnik,2103,46.5426212,15.6314632
Maribor,Razlagova ulica 3,MB Rakušev trg,Multispace paketnik,2116,46.5622267,15.6506669
Maribor,Šarhova ulica 53,MČ Studenci,Multispace paketnik,2106,46.551051,15.6218246
Maribor,Šarhova ulica 59 A,Ob poštni poslovalnici,6,2106,46.5514246,15.6212133
Maribor,Tyrševa ulica 23,Študentski domovi Maribor DOM 1,6,2101,46.5636831,15.6462232
Maribor,Ulica heroja Šlandra 15,MOM Ulica heroja Šlandra,Multispace paketnik,2116,46.5587495,15.6540025
Mengeš,Trdinov trg 8 A,Ob poštni poslovalnici,4,1234,46.162949,14.5686081
Metlika,Naselje Borisa Kidriča 2,Ob poštni poslovalnici,2,8330,45.6449339,15.3167663
Mirna,Cesta na Fužine 3,Ob poštni poslovalnici,2,8233,45.9525402,15.059982
Moravče,Vegova ulica 1,Ob poštni poslovalnici,4,1251,46.1354999,14.7447291
Mozirje,Savinjska cesta 3,Ob poštni poslovalnici,4,3330,46.3354561,14.9637279
Murska Sobota,Trg Zmage 6,Ob poštni poslovalnici,6,9101,46.6607392,16.1637724
Murska Sobota,Ulica Štefana Kovača 43,Maximus Murska sobota,4,9101,46.6613211,16.1451139
Muta,Glavni trg 31,Ob poštni poslovalnici,2,2366,46.6100036,15.163351
Naklo,Glavna cesta 24,Ob poštni poslovalnici,4,4202,46.2728917,14.3156566
Nova Gorica,Kidričeva ulica 19,Ob poštni poslovalnici,6,5101,45.9555085,13.648109
Nova Gorica,Industrijska cesta 9,Ob poštni poslovalnici,6,5102,45.9541649,13.6733901
Novo mesto,Ulica Slavka Gruma 7,Ob poštni poslovalnici,4,8102,45.7988557,15.1554883
